3
48,50
-1.57556,1.66544,-0.250681
-1.34483,1.48862,-0.109916
-0.944842,1.26256,0.201429
-1.12593,1.30492,0.382885
-1.49128,1.7638,0.352168
-1.25865,1.14904,0.10637
-1.30073,1.02418,0.360672
-0.860129,1.30696,-0.251544
-1.35304,1.58217,0.257413
-1.62495,1.15759,0.149426
-0.744419,1.20789,-0.121048
-0.70219,1.48893,0.431657
-1.07331,1.37421,0.292389
-1.22074,1.38223,-0.0604566
-0.742881,1.09239,0.177795
-1.21155,0.953584,0.137474
-1.5196,1.5923,0.422457
-1.21913,1.79241,0.618821
-0.90623,1.22852,0.363076
-0.850339,1.1484,0.569332
-0.706401,1.06679,-0.129804
-0.992136,1.40542,0.762201
-1.1599,1.8393,-0.0161002
-1.32364,1.19187,0.491922
-1.17648,1.0223,0.710104
-0.791077,1.38405,0.789479
-1.44599,1.43776,0.50757
-0.815923,1.79193,0.42577
-0.989491,1.45901,0.780082
-1.4188,1.18198,0.0542687
-0.64186,1.04889,0.246846
-1.56405,1.63006,0.778056
-0.59424,1.04346,0.743148
-1.40273,1.29313,0.0608121
-0.703196,1.68995,0.208902
-0.78548,1.47218,0.718748
-0.788389,1.5995,0.282296
-1.07321,1.35688,0.200021
-1.43983,0.940701,0.784824
-1.45213,1.0952,0.0925945
-1.19025,1.02665,0.267271
-0.735795,1.03591,0.0231199
-0.750127,1.01497,0.192374
-0.799367,1.18555,0.611296
-1.53094,1.05566,0.427042
-1.11443,1.84349,0.0250189
-1.18807,1.62841,0.750311
-0.698163,1.12851,0.232987
-1.29053,1.26199,0.29948
-1.29809,1.38317,0.520476
-0.997889,1.76622,0.67292
-1.52301,1.60373,-0.165382
-1.29227,1.42691,-0.0246162
-0.892289,1.20085,0.286728
-1.07338,1.24322,0.468184
-1.43873,1.7021,0.437468
-1.2061,1.08733,0.19167
-1.24817,0.962477,0.445972
-0.807576,1.24525,-0.166245
-1.30048,1.52047,0.342713
-1.5724,1.09589,0.234726
